original,uniformat,equivalent
"Panzar, John C.",John C. Panzar,"['Panzar, John C.', 'Panzar, John C', 'Panzar, J. C.', 'John C. Panzar']"
"Pattison, John C.",John C. Pattison,"['Pattison, John C.']"
"Robertson, John C.",John C. Robertson,"['Robertson, John C.', 'J. C. Robertson']"
"Taylor, John C.",John C. Taylor,"['Taylor, John C.', 'John Taylor']"
"Pezzey, John C. V.",John C. V. Pezzey,"['Pezzey, John C. V.']"
John C. Whitehead,John C. Whitehead,['John C. Whitehead']
"Yeoman, John C.",John C. Yeoman,"['Yeoman, John C.']"
"Caks, John",John Caks,"['Caks, John']"
John Calfee,John Calfee,"['John Calfee', 'Calfee, John']"
John Campbell Burton,John Campbell Burton,['John Campbell Burton']
"Cantwell, John",John Cantwell,"['Cantwell, John']"
"Capeci, John",John Capeci,"['Capeci, John']"
John Cawley,John Cawley,['John Cawley']
"Chang, John",John Chang,"['Chang, John']"
"Bradbury, John Charles",John Charles Bradbury,"['Bradbury, John Charles']"
"Ciccolo, John",John Ciccolo,"['Ciccolo, John']"
"Clemens, John",John Clemens,"['Clemens, John']"
"Cockburn, John",John Cockburn,"['Cockburn, John']"
"Coder, John",John Coder,"['Coder, John']"
"Conlisk, John",John Conlisk,"['Conlisk, John', 'John Conlisk', 'J. Conlisk']"
"Cornwall, John",John Cornwall,"['Cornwall, John', 'John Cornwall']"
John Cotter,John Cotter,"['John Cotter', 'Cotter, John']"
"Cownie, John",John Cownie,"['Cownie, John']"
"Creedy, John",John Creedy,"['Creedy, John', 'Creedy, J']"
"Corbit, John D",John D Corbit,"['Corbit, John D']"
"Graham, John D",John D Graham,"['Graham, John D']"
"Jackson, John D",John D Jackson,"['Jackson, John D']"
"Murray, John D",John D Murray,"['Murray, John D']"
"Owen, John D",John D Owen,"['Owen, John D']"
"Rea, John D",John D Rea,"['Rea, John D']"
"Schatzberg, John D",John D Schatzberg,"['Schatzberg, John D', 'Schatzberg, John D.']"
"Shoenhair, John D",John D Shoenhair,"['Shoenhair, John D']"
"Stowe, John D",John D Stowe,"['Stowe, John D']"
"Wilman, John D",John D Wilman,"['Wilman, John D']"
"Worrall, John D",John D Worrall,"['Worrall, John D']"
John D. Black,John D. Black,"['John D. Black', 'J. D. Black']"
John D. Burger,John D. Burger,['John D. Burger']
John D. Clark,John D. Clark,['John D. Clark']
John D. Donahue,John D. Donahue,['John D. Donahue']
"Finnerty, John D.",John D. Finnerty,"['Finnerty, John D.']"
"Hancock, John D.",John D. Hancock,"['Hancock, John D.']"
John D. Helmberger,John D. Helmberger,['John D. Helmberger']
John D. Hey,John D. Hey,"['John D. Hey', 'Hey, John D.', 'Hey, John D']"
"Huber, John D.",John D. Huber,"['Huber, John D.']"
John D. Knopf,John D. Knopf,"['John D. Knopf', 'Knopf, John D.']"
John D. Lyon,John D. Lyon,"['John D. Lyon', 'Lyon, John D', 'Lyon, John D.']"
"Montgomery, John D.",John D. Montgomery,"['Montgomery, John D.', 'John D. Montgomery']"
"Patrick, John D.",John D. Patrick,"['Patrick, John D.']"
John D. Stephens,John D. Stephens,['John D. Stephens']
John D. Sumner,John D. Sumner,['John D. Sumner']
John D. Tsoukalas,John D. Tsoukalas,['John D. Tsoukalas']
"Wolken, John D.",John D. Wolken,"['Wolken, John D.', 'Wolken, John D', 'Wolken, John']"
"Darroch, John",John Darroch,"['Darroch, John']"
John Davidson,John Davidson,['John Davidson']
John Dawson,John Dawson,['John Dawson']
John Devereux,John Devereux,"['John Devereux', 'Devereux, John']"
John DiNardo,John DiNardo,"['John DiNardo', 'DiNardo, John', 'John E. DiNardo']"
John Diamond,John Diamond,"['John Diamond', 'Diamond, J.']"
John Dinardo,John Dinardo,['John Dinardo']
"Wilson, John Douglas",John Douglas Wilson,"['Wilson, John Douglas', 'John D. Wilson', 'Wilson, John D.', 'Wilson, John O. S.']"
John Driffill,John Driffill,"['John Driffill', 'Driffill, John']"
John Duffy,John Duffy,"['John Duffy', 'Duffy, John']"
John Duggan,John Duggan,"['John Duggan', 'J. Duggan', 'Duggan, John']"
John Dutton,John Dutton,['John Dutton']
John Dykema,John Dykema,['John Dykema']
"Davies, John E",John E Davies,"['Davies, John E']"
"Garen, John E",John E Garen,"['Garen, John E', 'Garen, John']"
"Gilster, John E, Jr",John E Gilster,"['Gilster, John E, Jr']"
"Maher, John E",John E Maher,"['Maher, John E', 'John E. Maher']"
"Parsons, John E",John E Parsons,"['Parsons, John E', 'Parsons, John', 'Parsons, John E.']"
"Rolph, John E",John E Rolph,"['Rolph, John E', 'Rolph, John E.']"
"Tilton, John E",John E Tilton,"['Tilton, John E']"
John E. Brindley,John E. Brindley,['John E. Brindley']
"Core, John E.",John E. Core,"['Core, John E.', 'John E. Core']"
John E. Elliott,John E. Elliott,['John E. Elliott']
John E. Floyd,John E. Floyd,"['John E. Floyd', 'Floyd, John E.', 'Floyd, John E']"
John E. George,John E. George,"['John E. George', 'J. E. George']"
"Hund, John E.",John E. Hund,"['Hund, John E.', 'Hund, John']"
"Knodel, John E.",John E. Knodel,"['Knodel, John E.']"
John E. Kwoka,John E. Kwoka,"['John E. Kwoka', 'Kwoka, John E, Jr']"
John E. Orchard,John E. Orchard,['John E. Orchard']
"Roemer, John E.",John E. Roemer,"['Roemer, John E.', 'John Roemer', 'Roemer, John', 'John E Roemer', 'John E. Roemer', 'Roemer, John E']"
"Schlater, John E.",John E. Schlater,"['Schlater, John E.']"
John E. Spencer,John E. Spencer,['John E. Spencer']
"Stovall, John E.",John E. Stovall,"['Stovall, John E.', 'John E. Stovall']"
John Eatwell,John Eatwell,"['John Eatwell', 'Eatwell, John']"
"Ekberg, John",John Ekberg,"['Ekberg, John']"
"Elder, John",John Elder,"['Elder, John']"
"Enberg, John",John Enberg,"['Enberg, John']"
John Engberg,John Engberg,['John Engberg']
"Humphries, John Eric",John Eric Humphries,"['Humphries, John Eric', 'John Eric Humphries']"
"Erickson, John",John Erickson,"['Erickson, John']"
"Ermisch, John",John Ermisch,"['Ermisch, John', 'John Ermisch', 'Ermisch, John F']"
"Burton, John F, Jr",John F Burton,"['Burton, John F, Jr']"
"Chizmar, John F",John F Chizmar,"['Chizmar, John F']"
"McDonald, John F",John F McDonald,"['McDonald, John F', 'McDonald, J', 'McDonald, John', 'John F. McDonald']"
"Moeller, John F",John F Moeller,"['Moeller, John F']"
"Schnell, John F",John F Schnell,"['Schnell, John F']"
"Stewart, John F",John F Stewart,"['Stewart, John F']"
"Wilson, John F",John F Wilson,"['Wilson, John F', 'Wilson, John O. S.']"
"Boschen, John F.",John F. Boschen,"['Boschen, John F.', 'Boschen, John F']"
"Chant, John F.",John F. Chant,"['Chant, John F.', 'John F. Chant']"
John F. Cogan,John F. Cogan,"['John F. Cogan', 'Cogan, John F']"
John F. Due,John F. Due,"['John F. Due', 'Due, John F', 'Due, John F.']"
John F. Helliwell,John F. Helliwell,"['John F. Helliwell', 'Helliwell, John', 'Helliwell, John F', 'J. Helliwell', 'Helliwell, John F.', 'Helliwell, J. F.', 'Helliwell, John F, et al']"
John F. Kain,John F. Kain,"['John F. Kain', 'Kain, John F.', 'Kain, John F']"
John F. Kyle,John F. Kyle,"['John F. Kyle', 'Kyle, John F.']"
"Long, John F.",John F. Long,"['Long, John F.', 'J. Bradford De Long', 'De Long, J Bradford, et al', 'De Long, J. Bradford', 'De Long, J Bradford', 'Long, John']"
"Monahan, John F.",John F. Monahan,"['Monahan, John F.']"
"Bilson, John F. O.",John F. O. Bilson,"['Bilson, John F. O.', 'Bilson, John F.O.', 'Bilson, John F O']"
"Fahr, John",John Fahr,"['Fahr, John']"
John Farmer,John Farmer,"['John Farmer', 'J. Doyne Farmer', 'Farmer, J. Doyne']"
John Felkner,John Felkner,"['John Felkner', 'John S. Felkner']"
John Fender,John Fender,"['John Fender', 'Fender, John']"
John Fernald,John Fernald,"['John Fernald', 'John G. Fernald', 'Fernald, John G.', 'Fernald, John', 'Fernald, John G']"
"Fitts, John",John Fitts,"['Fitts, John']"
"Gerald, John Fitz",John Fitz Gerald,"['Gerald, John Fitz']"
"Fitzgerald, John",John Fitzgerald,"['Fitzgerald, John', 'Fitzgerald, John M']"
John Forth,John Forth,['John Forth']
"Fountain, John",John Fountain,"['Fountain, John', 'John Fountain']"
"Friedmann, John",John Friedmann,"['Friedmann, John', 'J. W. Friedman']"
"Cragg, John G",John G Cragg,"['Cragg, John G', 'J. G. Cragg', 'John G. Cragg', 'Cragg, J. G.', 'Cragg, John G.']"
"Greenhut, John G",John G Greenhut,"['Greenhut, John G', 'John Greenhut']"
"Gurley, John G",John G Gurley,"['Gurley, John G', 'John G. Gurley', 'Gurley, John']"
"Head, John G",John G Head,"['Head, John G']"
"Riley, John G",John G Riley,"['Riley, John G', 'J. G. Riley', 'Riley, John', 'Riley, John G.', 'John Riley', 'John G. Riley']"
"Sessions, John G",John G Sessions,"['Sessions, John G']"
John G. B. Hutchins,John G. B. Hutchins,['John G. B. Hutchins']
John G. Cross,John G. Cross,"['John G. Cross', 'Cross, John G.', 'Cross, John G']"
"Gallo, John G.",John G. Gallo,"['Gallo, John G.']"
"Heimann, John G.",John G. Heimann,"['Heimann, John G.']"
John G. Matsusaka,John G. Matsusaka,"['John G. Matsusaka', 'Matsusaka, John G.', 'Matsusaka, John G']"
"McDonald, John G.",John G. McDonald,"['McDonald, John G.', 'McDonald, J G', 'McDonald, John G']"
John G. Myers,John G. Myers,['John G. Myers']
John G. Poupore,John G. Poupore,['John G. Poupore']
"Powell, John G.",John G. Powell,"['Powell, John G.']"
"Thatcher, John G.",John G. Thatcher,"['Thatcher, John G.']"
John G. Thompson,John G. Thompson,['John G. Thompson']
John Gathergood,John Gathergood,"['John Gathergood', 'Gathergood, John']"
John Geweke,John Geweke,"['John Geweke', 'Geweke, John F', 'Geweke, John F.', 'Geweke, John']"
John Gibson,John Gibson,"['John Gibson', 'Gibson, John K', 'Gibson, John']"
"Giles, John",John Giles,"['Giles, John', 'John Giles']"
"Goddard, John",John Goddard,"['Goddard, John', 'Goddard, John A.']"
"Goodhew, John",John Goodhew,"['Goodhew, John']"
John Graham Brooks,John Graham Brooks,['John Graham Brooks']
John Grigsby,John Grigsby,['John Grigsby']
"Gross, John",John Gross,"['Gross, John']"
"Guandolo, John",John Guandolo,"['Guandolo, John']"
John Guyton,John Guyton,['John Guyton']
"Bishop, John H",John H Bishop,"['Bishop, John H', 'John Bishop', 'Bishop, John Hillman', 'Bishop, John']"
"Cheh, John H",John H Cheh,"['Cheh, John H', 'Cheh, John H.']"
"Constantine, John H",John H Constantine,"['Constantine, John H']"
"Goddeeris, John H",John H Goddeeris,"['Goddeeris, John H']"
"Holland, John H",John H Holland,"['Holland, John H']"
"Hotson, John H",John H Hotson,"['Hotson, John H']"
"Jackson, John H",John H Jackson,"['Jackson, John H']"
"Landon, John H",John H Landon,"['Landon, John H']"
"Miller, John H",John H Miller,"['Miller, John H', 'John Miller']"
"Smith, John H",John H Smith,"['Smith, John H']"
"Vande Vate, John H",John H Vande Vate,"['Vande Vate, John H']"
John H. Adler,John H. Adler,['John H. Adler']
John H. Boyd,John H. Boyd,"['John H. Boyd', 'Boyd, John H', 'Boyd, J Hayden', 'Boyd, John H, III', 'Boyd, John H.']"
"Boyd III, John H.",John H. Boyd III,"['Boyd III, John H.']"
John H. Cochrane,John H. Cochrane,"['John H. Cochrane', 'Cochrane, John H', 'John Cochrane', 'Cochrane, John H.']"
John H. Dales,John H. Dales,['John H. Dales']
John H. Frederick,John H. Frederick,['John H. Frederick']
"Goldthorpe, John H.",John H. Goldthorpe,"['Goldthorpe, John H.', 'John H. Goldthorpe']"
John H. Gray,John H. Gray,['John H. Gray']
John H. Johnson IV,John H. Johnson IV,['John H. Johnson IV']
John H. Kagel,John H. Kagel,"['John H. Kagel', 'Kagel, John H.', 'Kagel, John', 'Kagel, John H']"
"Leusner, John H.",John H. Leusner,"['Leusner, John H.']"
"Makin, John H.",John H. Makin,"['Makin, John H.', 'John H. Makin', 'Makin, J H', 'Makin, John H']"
John H. Nachbar,John H. Nachbar,['John H. Nachbar']
John H. Pencavel,John H. Pencavel,"['John H. Pencavel', 'Pencavel, John H.', 'J. H. Pencavel', 'Pencavel, John H', 'John Pencavel', 'Pencavel, John']"
John H. Power,John H. Power,"['John H. Power', 'Power, John H.']"
"Rogers, John H.",John H. Rogers,"['Rogers, John H.', 'Rogers, John', 'Rogers, John H', 'John H. Rogers']"
John H. Thornton Jr.,John H. Thornton Jr.,['John H. Thornton Jr.']
John H. Tressler,John H. Tressler,"['John H. Tressler', 'Tressler, J. H.', 'Tressler, J']"
John H. Tyler,John H. Tyler,['John H. Tyler']
"Welch, John H.",John H. Welch,"['Welch, John H.']"
John H. Williams,John H. Williams,['John H. Williams']
John H. Wills,John H. Wills,"['John H. Wills', 'Wills, John']"
"Wood, John H.",John H. Wood,"['Wood, John H.', 'Wood, John H', 'John H. Wood']"
"Edwards, John H. Y.",John H. Y. Edwards,"['Edwards, John H. Y.', 'Edwards, John H Y']"
"Einmahl, John H.J.",John H.J. Einmahl,"['Einmahl, John H.J.']"
"Hagedoorn, John",John Hagedoorn,"['Hagedoorn, John']"
John Haldi,John Haldi,['John Haldi']
"Hall, John",John Hall,"['Hall, John', 'J. Parker Hall']"
"Ham, John",John Ham,"['Ham, John', 'Ham, John C', 'Ham, John C.', 'John C. Ham']"
"Harding, John",John Harding,"['Harding, John', 'John P. Harding']"
"Harriss, John",John Harriss,"['Harriss, John']"
John Hassler,John Hassler,"['John Hassler', 'Hassler, John']"
John Haynes,John Haynes,['John Haynes']
"Haywood, John",John Haywood,"['Haywood, John']"
John Hein,John Hein,['John Hein']
"Hewson, John",John Hewson,"['Hewson, John']"
John Hicks,John Hicks,"['John Hicks', 'Hicks, John', 'J. R. Hicks', 'Hicks, John R', 'Hicks, J R']"
"Hillas, John",John Hillas,"['Hillas, John']"
"Hills, John",John Hills,"['Hills, John']"
"Hoag, John",John Hoag,"['Hoag, John']"
John Hoddinott,John Hoddinott,"['John Hoddinott', 'Hoddinott, John']"
John Holahan,John Holahan,['John Holahan']
"Hooley, John",John Hooley,"['Hooley, John']"
"Howell, John",John Howell,"['Howell, John']"
"Fan, John Hua",John Hua Fan,"['Fan, John Hua']"
John Hudson,John Hudson,"['John Hudson', 'Hudson, John']"
"Huizinga, John",John Huizinga,"['Huizinga, John']"
"Birch, John I.",John I. Birch,"['Birch, John I.']"
"Boud, John III",John III Boud,"['Boud, John III']"
"Boyd, John III",John III Boyd,"['Boyd, John III']"
"Peavy, John III",John III Peavy,"['Peavy, John III']"
"Torell, John III",John III Torell,"['Torell, John III']"
"Trapani, John III",John III Trapani,"['Trapani, John III']"
John Ifcher,John Ifcher,['John Ifcher']
John Ise,John Ise,['John Ise']
"Antel, John J",John J Antel,"['Antel, John J']"
"Beggs, John J",John J Beggs,"['Beggs, John J']"
"McConnell, John J",John J McConnell,"['McConnell, John J', 'John J. McConnell', 'McConnell, John J.']"
"McGowan, John J",John J McGowan,"['McGowan, John J']"
"Pringle, John J",John J Pringle,"['Pringle, John J']"
"Soladay, John J",John J Soladay,"['Soladay, John J']"
"Spitzer, John J",John J Spitzer,"['Spitzer, John J', 'Spitzer, John J.']"
John J. Abowd,John J. Abowd,['John J. Abowd']
John J. Arnold,John J. Arnold,['John J. Arnold']
John J. Balles,John J. Balles,['John J. Balles']
John J. Cheslock,John J. Cheslock,['John J. Cheslock']
John J. Corson,John J. Corson,['John J. Corson']
John J. DiIulio,John J. DiIulio,['John J. DiIulio']
John J. Donohue,John J. Donohue,"['John J. Donohue', 'Donohue, John J, III']"
John J. Donohue III,John J. Donohue III,['John J. Donohue III']
John J. Horton,John J. Horton,['John J. Horton']
John J. Keane,John J. Keane,['John J. Keane']
John J. Klein,John J. Klein,"['John J. Klein', 'Klein, John J']"
John J. McArdle,John J. McArdle,['John J. McArdle']
"Merrick Jr., John J.",John J. Merrick Jr.,"['Merrick Jr., John J.']"
"Mingo, John J.",John J. Mingo,"['Mingo, John J.', 'Mingo, John J']"
"Mullin, John J.",John J. Mullin,"['Mullin, John J.']"
"Seater, John J.",John J. Seater,"['Seater, John J.', 'J. Seater, John', 'John Seater', 'Seater, John J']"
John J. Siegfried,John J. Siegfried,"['John J. Siegfried', 'Siegfried, John J, et al', 'Siegfried, John J']"
"Stansfield, John J.",John J. Stansfield,"['Stansfield, John J.']"
"Stevens, John J.",John J. Stevens,"['Stevens, John J.', 'John J. Stevens']"
"Valentini, John J.",John J. Valentini,"['Valentini, John J.', 'Valentini, John J']"
"Jacob, John",John Jacob,"['Jacob, John']"
"Janmaat, John",John Janmaat,"['Janmaat, John']"
John Jewkes,John Jewkes,['John Jewkes']
"Wallis, John Joseph",John Joseph Wallis,"['Wallis, John Joseph', 'John Joseph Wallis']"
"Long, John Jr",John Jr Long,"['Long, John Jr', 'Long, John Jr.', 'De Long, J Bradford', 'Long, John JR.', 'Long, John']"
"Merrick, John Jr",John Jr Merrick,"['Merrick, John Jr', 'Merrick, John', 'Merrick, John Jr.', 'Merrick, John J, Jr']"
"Alexander, John Jr.",John Jr. Alexander,"['Alexander, John Jr.']"
"Cooney, John Jr.",John Jr. Cooney,"['Cooney, John Jr.']"
"Haltiwanger, John Jr.",John Jr. Haltiwanger,"['Haltiwanger, John Jr.', 'John Haltiwanger']"
"Jahera, John Jr.",John Jr. Jahera,"['Jahera, John Jr.']"
"Lott, John Jr.",John Jr. Lott,"['Lott, John Jr.']"
"Page, John Jr.",John Jr. Page,"['Page, John Jr.']"
"Yeoman, John Jr.",John Jr. Yeoman,"['Yeoman, John Jr.']"
"Hill, John K",John K Hill,"['Hill, John K', 'Hill, John K.']"
"Ashton, John K.",John K. Ashton,"['Ashton, John K.']"
John K. Dagsvik,John K. Dagsvik,"['John K. Dagsvik', 'Dagsvik, John', 'Dagsvik, John K']"
John K. Horowitz,John K. Horowitz,"['John K. Horowitz', 'Horowitz, J.', 'Horowitz, John K.']"
"Paglia, John K.",John K. Paglia,"['Paglia, John K.']"
John K. Wald,John K. Wald,"['John K. Wald', 'Wald, John K.']"
"Wei, John K.C.",John K.C. Wei,"['Wei, John K.C.']"
John K.H. Quah,John K.H. Quah,"['John K.H. Quah', 'John K.-H Quah', 'John K.‐H. Quah', 'Quah, John K.-H.', 'John K.-H. Quah']"
John Kareken,John Kareken,"['John Kareken', 'Kareken, John H.', 'John H. Kareken', 'Kareken, John H', 'Kareken, John']"
"Scholz, John Karl",John Karl Scholz,"['Scholz, John Karl', 'John Karl Scholz']"
"Karreken, John",John Karreken,"['Karreken, John']"
John Kennan,John Kennan,"['John Kennan', 'Kennan, John']"
"Kennes, John",John Kennes,"['Kennes, John']"
"Kervin, John",John Kervin,"['Kervin, John']"
John Knapp,John Knapp,['John Knapp']
John Knowles,John Knowles,"['John Knowles', 'Knowles, John', 'John A. Knowles']"
"Komlos, John",John Komlos,"['Komlos, John', 'John Komlos']"
"Kraft, John",John Kraft,"['Kraft, John']"
"Evans, John L",John L Evans,"['Evans, John L', 'John L. Evans']"
"Goodman, John L, Jr",John L Goodman,"['Goodman, John L, Jr']"
"Hazard, John L",John L Hazard,"['Hazard, John L']"
"Knight, John L",John L Knight,"['Knight, John L', 'Knight, John', 'Knight, John L.']"
"Neufeld, John L",John L Neufeld,"['Neufeld, John L']"
"Palmer, John L",John L Palmer,"['Palmer, John L']"
"Peterman, John L",John L Peterman,"['Peterman, John L']"
"Pratschke, John L",John L Pratschke,"['Pratschke, John L']"
"Solow, John L",John L Solow,"['Solow, John L', 'Solow, John L.']"
John L. Campbell,John L. Campbell,['John L. Campbell']
John L. Hovis,John L. Hovis,['John L. Hovis']
"Kling, John L.",John L. Kling,"['Kling, John L.']"
"Newman, John L.",John L. Newman,"['Newman, John L.', 'Newman, John L']"
John L. O'Donnell,John L. O'Donnell,"[""John L. O'Donnell"", ""J. L. O'Donnell""]"
"Pender, John L.",John L. Pender,"['Pender, John L.']"
"Teall, John L.",John L. Teall,"['Teall, John L.']"
"Turner, John L.",John L. Turner,"['Turner, John L.', 'John L. Turner']"
"Langford, John",John Langford,"['Langford, John']"
John Law: Economic Theorist,John Law: Economic Theorist,['John Law: Economic Theorist']
"Ledyard, John",John Ledyard,"['Ledyard, John', 'John O. Ledyard', 'Ledyard, John O.', 'Ledyard, John O']"
"Lfach, John",John Lfach,"['Lfach, John']"
"Lindsey, John",John Lindsey,"['Lindsey, John']"
John Lintner,John Lintner,"['John Lintner', 'Lintner, John']"
John List,John List,"['John List', 'List, John A.', 'List, John A', 'List, John', 'John A List', 'John A. List']"
"Livernois, John",John Livernois,"['Livernois, John', 'Livernois, John R']"
John Livingston,John Livingston,['John Livingston']
"Llewellyn, John",John Llewellyn,"['Llewellyn, John', 'John Llewellyn']"
"Londregan, John",John Londregan,"['Londregan, John', 'John Londregan']"
"Lopresti, John",John Lopresti,"['Lopresti, John']"
"Lunn, John",John Lunn,"['Lunn, John']"
"Antle, John M",John M Antle,"['Antle, John M', 'Antle, John M.']"
"Campbell, John M",John M Campbell,"['Campbell, John M', 'John Campbell', 'Campbell, John M, Jr']"
"Harris, John M, Jr",John M Harris,"['Harris, John M, Jr']"
"Hasty, John M, Jr",John M Hasty,"['Hasty, John M, Jr']"
"Kuhlman, John M",John M Kuhlman,"['Kuhlman, John M']"
"Letiche, John M",John M Letiche,"['Letiche, John M', 'Letiche, J M', 'J. M. Letiche']"
"Mason, John M",John M Mason,"['Mason, John M', 'Mason, J. M.']"
"Montias, John M",John M Montias,"['Montias, John M', 'Montias, J M', 'John Michael Montias', 'Montias, J. M.', 'J. Michael Montias', 'J. M. Montias']"
"Page, John M, Jr",John M Page,"['Page, John M, Jr']"
"Pinkerton, John M",John M Pinkerton,"['Pinkerton, John M', 'Pinkerton, John M.']"
"Sumansky, John M",John M Sumansky,"['Sumansky, John M']"
"Trapani, John M",John M Trapani,"['Trapani, John M', 'Trapani, John M.']"
"Abowd, John M.",John M. Abowd,"['Abowd, John M.', 'John M. Abowd', 'Abowd, John M']"
"Anderies, John M.",John M. Anderies,"['Anderies, John M.']"
John M. Barron,John M. Barron,"['John M. Barron', 'Barron, John M.', 'Barron, John M']"
John M. Clapp,John M. Clapp,['John M. Clapp']
"Cohen, John M.",John M. Cohen,"['Cohen, John M.', 'Cohen, J.']"
"Finkelstein, John M.",John M. Finkelstein,"['Finkelstein, John M.']"
"Gandar, John M.",John M. Gandar,"['Gandar, John M.', 'John M. Gandar', 'Gandar, John, et al', 'Gandar, John M']"
John M. Griffin,John M. Griffin,"['John M. Griffin', 'Griffin, J.E.', 'John Griffin', 'Griffin, John M.', 'Griffin, John M']"
John M. Litwack,John M. Litwack,['John M. Litwack']
"Maheu, John M.",John M. Maheu,"['Maheu, John M.', 'John M. Maheu']"
John M. Mathews,John M. Mathews,['John M. Mathews']
John M. McDowell,John M. McDowell,"['John M. McDowell', 'McDowell, John M', 'McDowell, John M.']"
"Mulvey, John M.",John M. Mulvey,"['Mulvey, John M.']"
"Parkinson, John M.",John M. Parkinson,"['Parkinson, John M.']"
John M. Parman,John M. Parman,['John M. Parman']
John M. Peterson,John M. Peterson,['John M. Peterson']
John M. R. Chalmers,John M. R. Chalmers,"['John M. R. Chalmers', 'John Chalmers', 'Chalmers, John', 'Chalmers, John M R', 'Chalmers, John M. R.']"
"Schoff, John M.",John M. Schoff,"['Schoff, John M.']"
"Sequeira, John M.",John M. Sequeira,"['Sequeira, John M.']"
"Underwood, John M.",John M. Underwood,"['Underwood, John M.', 'Underwood, John']"
John M. de Figueiredo,John M. de Figueiredo,['John M. de Figueiredo']
John MacDonald,John MacDonald,['John MacDonald']
"Macrae, John",John Macrae,"['Macrae, John']"
"Maloney, John",John Maloney,"['Maloney, John', 'John Maloney']"
"Marriott, John",John Marriott,"['Marriott, John']"
John Marshall,John Marshall,"['John Marshall', 'Marshall, John M', 'Marshall, John M.']"
John Martin,John Martin,"['John Martin', 'Spencer Martin, J.', 'Martin, John D.', 'Martin, John P.', 'Martin, John D', 'Martin, John P', 'J. Spencer Martin', 'Martin, J Spencer']"
"Currie, John Martin",John Martin Currie,"['Currie, John Martin']"
John Mathieson,John Mathieson,['John Mathieson']
"McCarthy, John",John McCarthy,"['McCarthy, John']"
John McCormack,John McCormack,['John McCormack']
"McDermott, John",John McDermott,"['McDermott, John', 'McDermott, John H.', 'McDermott, John B.']"
"McHale, John",John McHale,"['McHale, John']"
John McLaren,John McLaren,"['John McLaren', 'McLaren, John']"
John McMillan,John McMillan,"['John McMillan', 'McMillan, John']"
"McPeak, John",John McPeak,"['McPeak, John']"
John Mcmillan,John Mcmillan,['John Mcmillan']
"Medland, John",John Medland,"['Medland, John']"
"Meullbauer, John",John Meullbauer,"['Meullbauer, John']"
"Quigley, John Michael",John Michael Quigley,"['Quigley, John Michael', 'John Michael Quigley', 'Quigley, John M', 'John M. Quigley', 'Quigley, John M.']"
"Micklewright, John",John Micklewright,"['Micklewright, John', 'John Micklewright', 'Micklewright, J.']"
John Moes,John Moes,"['John Moes', 'John E. Moes']"
John Moore,John Moore,"['John Moore', 'Moore, John H.', 'Moore, John', 'Moore, John H', 'Moore, J H']"
"Morrow, John",John Morrow,"['Morrow, John']"
"Muellbauer, John",John Muellbauer,"['Muellbauer, John', 'Muellbauer, J', 'John Muellbauer']"
John Mueller,John Mueller,['John Mueller']
"Mullahy, John",John Mullahy,"['Mullahy, John', 'John Mullahy']"
"Mutti, John",John Mutti,"['Mutti, John', 'Mutti, John H', 'Mutti, John H.']"
"Smithin, John N",John N Smithin,"['Smithin, John N']"
John N. Friedman,John N. Friedman,['John N. Friedman']
"Nagorniak, John",John Nagorniak,"['Nagorniak, John']"
"Neral, John",John Neral,"['Neral, John']"
"Neter, John",John Neter,"['Neter, John']"
John O. Blackburn,John O. Blackburn,['John O. Blackburn']
"Wilson, John O.S.",John O.S. Wilson,"['Wilson, John O.S.']"
"Bonin, John P",John P Bonin,"['Bonin, John P', 'Bonin, John P.']"
"Brown, John P",John P Brown,"['Brown, John P']"
"Caskey, John P",John P Caskey,"['Caskey, John P']"
"Farrell, John P",John P Farrell,"['Farrell, John P']"
"Gould, John P",John P Gould,"['Gould, John P', 'John P. Gould', 'Gould, J. P.', 'Gould, John P.', 'J. P. Gould']"
"Hoehn, John P",John P Hoehn,"['Hoehn, John P']"
"Hutton, John P",John P Hutton,"['Hutton, John P', 'Hutton, J P', 'John P. Hutton']"
"Judd, John P",John P Judd,"['Judd, John P']"
"Link, John P",John P Link,"['Link, John P']"
"Rust, John P",John P Rust,"['Rust, John P', 'J. Rust', 'Rust, John', 'John Rust']"
"Seagle, John P",John P Seagle,"['Seagle, John P']"
John P. A. Ioannidis,John P. A. Ioannidis,['John P. A. Ioannidis']
"Bigelow, John P.",John P. Bigelow,"['Bigelow, John P.']"
John P. Burkett,John P. Burkett,"['John P. Burkett', 'Burkett, John P.']"
John P. Conley,John P. Conley,"['John P. Conley', 'Conley, John P.']"
"Danforth, John P.",John P. Danforth,"['Danforth, John P.']"
"Formby, John P.",John P. Formby,"['Formby, John P.', 'Formby, John P']"
John P. Frey,John P. Frey,['John P. Frey']
John P. Haisken-DeNew,John P. Haisken-DeNew,['John P. Haisken-DeNew']
John P. Henderson,John P. Henderson,['John P. Henderson']
John P. Herzog,John P. Herzog,['John P. Herzog']
"Laitner, John P.",John P. Laitner,"['Laitner, John P.', 'Laitner, John P', 'Laitner, John', 'John Laitner']"
"Lajaunie, John P.",John P. Lajaunie,"['Lajaunie, John P.']"
"Nolan, John P.",John P. Nolan,"['Nolan, John P.']"
"Papay, John P.",John P. Papay,"['Papay, John P.', 'John P. Papay']"
John P. Shelton,John P. Shelton,"['John P. Shelton', 'Shelton, John P']"
